"File"	"Speaker"	"Wordcount"
"DGU018"	"JB"	6
"DGU018"	"JK"	63
"DGU018"	"KB"	435
"DGU018"	"MC"	89
"DGU018"	"PB"	71
"DGU018"	"RP"	632
"DGU018"	"WC"	348
"DGU018"	"WP"	76
"DGU019"	"??"	44
"DGU019"	"AK"	56
"DGU019"	"JH"	81
"DGU019"	"KB"	187
"DGU019"	"MM"	109
"DGU019"	"PS"	38
"DGU019"	"RM"	38
"DGU019"	"RP"	162
"DGU019"	"WP"	111
"DGU019"	"XX"	32
"DGZ004"	"CM"	73
"DGZ004"	"SF"	89
"DGZ005"	"CM"	490
"DGZ005"	"SF"	338
"DGZ006"	"CM"	63
"DGZ006"	"SF"	160
"DGZ019"	"CB"	505
"DGZ019"	"SA"	1468
"DGZ020"	"CB"	1215
"DGZ020"	"SA"	1211
"DGZ020"	"XX"	1
"DGZ021"	"CA"	258
"DGZ021"	"SB"	199
"DGZ022"	"CA"	248
"DGZ022"	"SB"	168
"DGZ023"	"??"	9
"DGZ023"	"AP"	672
"DGZ023"	"BU"	46
"DGZ023"	"FS"	319
"DGZ023"	"GW"	246
"DGZ023"	"HJ"	27
"DGZ023"	"KC"	236
"DGZ023"	"LD"	147
"DGZ023"	"TE"	244
"DGZ023"	"X1"	6
"DGZ023"	"X2"	264
"DGZ023"	"X3"	13
"DGZ024"	"AI"	345
"DGZ024"	"BH"	161
"DGZ024"	"CT"	204
"DGZ024"	"DP"	88
"DGZ024"	"EQ"	56
"DGZ024"	"GN"	449
"DGZ024"	"HS"	20
"DGZ024"	"KK"	46
"DGZ024"	"LV"	31
"DGZ024"	"MR"	43
"DGZ024"	"UJ"	161
"DGZ024"	"WF"	172
"DGZ024"	"X1"	152
"DGZ024"	"X2"	114
"DGZ025"	"CB"	125
"DGZ025"	"SA"	154
"DGZ026"	"CB"	21
"DGZ026"	"SA"	129
"DGZ027"	"CB"	139
"DGZ027"	"SA"	167
"DGZ028"	"CB"	38
"DGZ028"	"SA"	105
"DGZ029"	"CB"	125
"DGZ029"	"SA"	237
"DGZ030"	"CF"	127
"DGZ030"	"SA"	262
"DGZ031"	"CM"	117
"DGZ031"	"SA"	85
"DGZ032"	"CM"	105
"DGZ032"	"SA"	150
"DGZ033"	"CB"	109
"DGZ033"	"SA"	186
"DGZ034"	"CB"	53
"DGZ034"	"SA"	101
"DGZ035"	"CB"	42
"DGZ035"	"SA"	108
"DGZ036"	"CB"	73
"DGZ036"	"SA"	89
"DGZ036"	"XX"	35
"DGZ037"	"CB"	52
"DGZ037"	"SA"	49
"DGZ037"	"XX"	26
"DGZ038"	"CB"	23
"DGZ038"	"SA"	25
"DGZ038"	"XX"	12
"DGZ039"	"CB"	149
"DGZ039"	"SA"	285
"DGZ040"	"CB"	20
"DGZ040"	"SA"	107
"DGZ041"	"??"	7
"DGZ041"	"BB"	33
"DGZ041"	"DV"	261
"DGZ041"	"HN"	182
"DGZ041"	"JE"	10
"DGZ041"	"LC"	156
"DGZ041"	"MG"	145
"DGZ041"	"RR"	298
"DGZ041"	"ST"	1496
"DGZ042"	"CS"	115
"DGZ042"	"SE"	149
"DGZ043"	"CL"	622
"DGZ043"	"SP"	1075
"DGZ044"	"CL"	429
"DGZ044"	"SG"	1399
"DGZ045"	"CK"	832
"DGZ045"	"LL"	23
"DGZ045"	"SH"	858
"DGZ046"	"CL"	431
"DGZ046"	"KK"	20
"DGZ046"	"SH"	732
"DGZ047"	"CK"	255
"DGZ047"	"LL"	26
"DGZ047"	"SS"	322
"DGZ048"	"CL"	655
"DGZ048"	"SA"	1218
"DGZ048"	"XC"	16
"DGZ048"	"XS"	11
"DGZ049"	"AA"	32
"DGZ049"	"CL"	351
"DGZ049"	"SA"	1480
"DGZ050"	"CL"	320
"DGZ050"	"SA"	790
"DGZ051"	"CJ"	121
"DGZ051"	"CL"	1
"DGZ051"	"LL"	3
"DGZ051"	"SA"	184
"DGZ052"	"AA"	9
"DGZ052"	"CJ"	51
"DGZ052"	"CL"	754
"DGZ052"	"SA"	1158
